run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v1_B_base_openrouter_20260729T115625960375,v1,v1+p1532b45041bb+t011c271ef0bb,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T115625960375,v1,v1+p1532b45041bb+t011c271ef0bb,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T115625960375,v1,v1+p1532b45041bb+t011c271ef0bb,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T115625960375,v1,v1+p1532b45041bb+t011c271ef0bb,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T115625960375,v1,v1+p1532b45041bb+t011c271ef0bb,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v1_B_group_openrouter_20260729T115729227058,v1,v1+p1532b45041bb+t011c271ef0bb,group,G01_single_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_group_openrouter_20260729T115729227058,v1,v1+p1532b45041bb+t011c271ef0bb,group,G02_single_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_group_openrouter_20260729T115729227058,v1,v1+p1532b45041bb+t011c271ef0bb,group,G03_single_confirm_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v1_B_group_openrouter_20260729T115729227058,v1,v1+p1532b45041bb+t011c271ef0bb,group,G04_single_social_topic,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_group_openrouter_20260729T115729227058,v1,v1+p1532b45041bb+t011c271ef0bb,group,G05_single_query_fidelity,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_group_openrouter_20260729T115729227058,v1,v1+p1532b45041bb+t011c271ef0bb,group,G06_multi_fill_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_group_openrouter_20260729T115729227058,v1,v1+p1532b45041bb+t011c271ef0bb,group,G07_multi_confirmed_send,True,wrong_boundary,,send,send,True,True,True,
v1_B_group_openrouter_20260729T115729227058,v1,v1+p1532b45041bb+t011c271ef0bb,group,G08_multi_account_to_topic,True,wrong_tool,,social_search,social_search,True,True,True,
v1_B_group_openrouter_20260729T115729227058,v1,v1+p1532b45041bb+t011c271ef0bb,group,G09_multi_add_second_source,True,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"topic: expected 'news', got None"
v1_B_group_openrouter_20260729T115729227058,v1,v1+p1532b45041bb+t011c271ef0bb,group,G10_multi_query_correction,True,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"topic: expected 'news', got None"
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T115944192547,v2,v2+p9eb0940240d5+t011c271ef0bb,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_group_openrouter_20260729T120043831332,v2,v2+p9eb0940240d5+t011c271ef0bb,group,G01_single_missing_handle,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v2_B_group_openrouter_20260729T120043831332,v2,v2+p9eb0940240d5+t011c271ef0bb,group,G02_single_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_group_openrouter_20260729T120043831332,v2,v2+p9eb0940240d5+t011c271ef0bb,group,G03_single_confirm_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_group_openrouter_20260729T120043831332,v2,v2+p9eb0940240d5+t011c271ef0bb,group,G04_single_social_topic,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_group_openrouter_20260729T120043831332,v2,v2+p9eb0940240d5+t011c271ef0bb,group,G05_single_query_fidelity,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_group_openrouter_20260729T120043831332,v2,v2+p9eb0940240d5+t011c271ef0bb,group,G06_multi_fill_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_group_openrouter_20260729T120043831332,v2,v2+p9eb0940240d5+t011c271ef0bb,group,G07_multi_confirmed_send,True,wrong_boundary,,send,send,True,True,True,
v2_B_group_openrouter_20260729T120043831332,v2,v2+p9eb0940240d5+t011c271ef0bb,group,G08_multi_account_to_topic,True,wrong_tool,,social_search,social_search,True,True,True,
v2_B_group_openrouter_20260729T120043831332,v2,v2+p9eb0940240d5+t011c271ef0bb,group,G09_multi_add_second_source,True,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"topic: expected 'news', got None"
v2_B_group_openrouter_20260729T120043831332,v2,v2+p9eb0940240d5+t011c271ef0bb,group,G10_multi_query_correction,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T120331931040,v3,v3+p9eb0940240d5+tca99c45695d0,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T120416132784,v3,v3+p9eb0940240d5+tca99c45695d0,group,G01_single_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260729T120416132784,v3,v3+p9eb0940240d5+tca99c45695d0,group,G02_single_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T120416132784,v3,v3+p9eb0940240d5+tca99c45695d0,group,G03_single_confirm_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260729T120416132784,v3,v3+p9eb0940240d5+tca99c45695d0,group,G04_single_social_topic,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_group_openrouter_20260729T120416132784,v3,v3+p9eb0940240d5+tca99c45695d0,group,G05_single_query_fidelity,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T120416132784,v3,v3+p9eb0940240d5+tca99c45695d0,group,G06_multi_fill_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_group_openrouter_20260729T120416132784,v3,v3+p9eb0940240d5+tca99c45695d0,group,G07_multi_confirmed_send,True,wrong_boundary,,send,send,True,True,True,
v3_B_group_openrouter_20260729T120416132784,v3,v3+p9eb0940240d5+tca99c45695d0,group,G08_multi_account_to_topic,True,wrong_tool,,social_search,social_search,True,True,True,
v3_B_group_openrouter_20260729T120416132784,v3,v3+p9eb0940240d5+tca99c45695d0,group,G09_multi_add_second_source,True,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_group_openrouter_20260729T120416132784,v3,v3+p9eb0940240d5+tca99c45695d0,group,G10_multi_query_correction,True,wrong_arg_value,,lookup,lookup,True,True,True,
